"far_feature_code","far_feature_type","far_feature_description"
"A01","General","Handicap features
"
"A02","General","Smoke-free
"
"A03","General","Cats allowed
"
"A04","General","Dogs allowed
"
"A05","General","Pets allowed
"
"A06","General","Pets on approval
"
"A07","General","No pets allowed
"
"A08","General","Pet restrictions
"
"A09","General","Housing For Older Persons
"
"A10","General","Seasonal residence
"
"A11","General","Single Family (use if you can't map Property Type)
"
"A12","General","Condo/Townhome (use if you can't map Property Type)
"
"A13","General","Mobile home (use if you can't map Property Type)
"
"A14","General","MultiFamily (use if you can't map Property Type)
"
"A15","General","Farm (use if you can't map Property Type)
"
"A16","General","Land (use if you can't map Property Type)
"
"A17","General","Rental (use if you can't map Property Type)
"
"A18","General","Government subsidized
"
"B01","Condition","Sold \"As is\"
"
"B02","Condition","Sold \"As Is\" - Fixer-upper
"
"B03","Condition","Fixer-upper
"
"B04","Condition","currently under construction
"
"B05","Condition","New construction
"
"B06","Condition","Remodeled
"
"B07","Condition","Home warranty (see agent for details)
"
"B08","Condition","Newer fixtures
"
"B09","Condition","Newer home (0-5 yrs)
"
"B10","Condition","Newly painted
"
"B11","Condition","Model
"
"B13","Condition","To be built
"
"C01","Community","Community laundry facilities
"
"C02","Community","Pool table(s)
"
"C03","Community","Community boat facilities
"
"C04","Community","Clubhouse kitchen facilities
"
"C05","Community","Community clubhouse(s)
"
"C06","Community","Community exercise area(s)
"
"C07","Community","Community golf
"
"C08","Community","Handball
"
"C09","Community","Community horse facilities
"
"C10","Community","Access to riding trails
"
"C11","Community","Community in-door swimming pool
"
"C12","Community","Community park(s)
"
"C13","Community","Picnic area(s)
"
"C14","Community","Community childrens play area'
"
"C15","Community","Community swimming pool(s)
"
"C16","Community","Putting green
"
"C17","Community","Community sauna(s)
"
"C18","Community","Community spa(s)
"
"C19","Community","Community tennis court(s)
"
"C20","Community","Biking/fitness trail
"
"C21","Community","Gated community
"
"C22","Community","On-site guard
"
"C23","Community","Community security features
"
"C24","Community","Extra storage available
"
"C25","Community","Courtesy bus
"
"C27","Community","Close to public transportation
"
"D01","Condo","First floor location
"
"D05","Condo","Outside entrance
"
"D06","Condo","End unit
"
"D07","Condo","Ground floor unit
"
"D09","Condo","Elevator(s)
"
"D10","Condo","Individual electric meter
"
"D11","Condo","Individual gas meter
"
"D12","Condo","Private yard
"
"D13","Mobile Homes","Includes foundation
"
"D15","Mobile Homes","Single-wide mobile
"
"D16","Mobile Homes","Double-wide mobile
"
"D17","Mobile Homes","Triple-wide mobile
"
"D18","Mobile Homes","Quadruple-wide mobile
"
"D19","Condo","Resident manager
"
"E01","Construction","Adobe construction
"
"E02","Construction","Brick exterior
"
"E03","Construction","Stucco and brick exterior
"
"E04","Construction","Cedar/redwood siding
"
"E05","Construction","Concrete block stucco
"
"E06","Construction","Pier or beam foundation
"
"E07","Construction","Frame and brick exterior
"
"E08","Construction","Frame and stone exterior
"
"E09","Construction","Frame and stucco exterior
"
"E10","Construction","Log construction
"
"E11","Construction","Modular construction
"
"E12","Construction","Stone exterior
"
"E13","Construction","Stucco exterior
"
"E14","Construction","Vinyl/metal siding
"
"E15","Construction","Vinyl siding
"
"E16","Construction","Wood siding
"
"E17","Construction","Wood shingle siding
"
"E18","Construction","Frame exterior
"
"E19","Roof","Composition roof
"
"E20","Roof","Metal roof
"
"E21","Roof","Slate roof
"
"E22","Roof","Tile roof
"
"E23","Roof","Shingle roof
"
"E23F","Roof","Wooden shake
"
"E24","Construction","Brick accent
"
"E25","Construction","Masonite siding
"
"F01","Energy","Water softner
"
"F02","Energy","Two or more water heaters
"
"F03","Energy","Solar water heater
"
"F04","Energy","Programmable thermostat
"
"F05","Energy","Zoned temperature control
"
"F06","Energy","Insulated door(s)
"
"F07","Energy","Insulated windows
"
"F08","Energy","Storm windows
"
"F09","Energy","Tinted windows
"
"F10","Energy","Energy efficient rated home
"
"F18","Energy","High energy furnace
"
"G01","Exterior","Aviary
"
"G02","Exterior","Balcony
"
"G03","Exterior","Carriage house
"
"G04","Exterior","Deck
"
"G05","Exterior","Dog run
"
"G06","Exterior","Gazebo
"
"G07","Exterior","Guest house
"
"G08","Exterior","Greenhouse
"
"G09","Exterior","Patio
"
"G10","Exterior","Covered patio
"
"G11","Exterior","Enclosed patio
"
"G12","Exterior","Covered porch
"
"G13","Exterior","Enclosed porch
"
"G14","Exterior","Storage/out-building(s)
"
"G15","Exterior","Outdoor lights
"
"G16","Fencing","Block fencing
"
"G17","Fencing","Fenced
"
"G18","Fencing","Partially fenced
"
"G19","Fencing","Wrought iron fencing
"
"G20","Fencing","Chain link fence
"
"G21","Fencing","Masonry fencing
"
"G22","Fencing","Security fence
"
"G23","Fencing","Wood fencing
"
"G25","Exterior","Barn
"
"G27","Exterior","Other farm buildings
"
"G29","Exterior","Porch
"
"H01","Financial","Corporate owned
"
"H02","Financial","See agent for details on association fees
"
"H03","Financial","Home owners fee
"
"H04","Financial","Hud owned
"
"H05","Financial","Licensed owner
"
"H06","Financial","Lender owned
"
"H07","Financial","Lease option
"
"H08","Financial","Lease/purchase
"
"H09","Financial","No rentals
"
"H10","Financial","Trade
"
"H11","Financial","Zero downpayment
"
"H12","Financial","Includes rental unit
"
"H13","Financial","Cooperative ownership
"
"H20","Financial","Foreclosure
"
"H21","Financial","Short Sale
"
"I01","Fireplaces","Master bedroom fireplace
"
"I02","Fireplaces","Bedroom fireplace
"
"I03","Fireplaces","Basement fireplace
"
"I04","Fireplaces","Great room fireplace
"
"I05","Fireplaces","Dining room fireplace
"
"I06","Fireplaces","Kitchen fireplace
"
"I07","Fireplaces","Living room fireplace
"
"I08","Fireplaces","Family room fireplace
"
"I09","Fireplaces","Re-circulating fireplace
"
"I10","Fireplaces","Electric fireplace
"
"I11","Fireplaces","Freestanding fireplace
"
"I12","Fireplaces","Gas fireplace
"
"I13","Fireplaces","Fireplace(s)
"
"I14","Fireplaces","Multi-sided fireplace
"
"I15","Fireplaces","Gas fireplace logs
"
"I16","Fireplaces","Den fireplace
"
"I17","Fireplaces","Game room fireplace
"
"I18","Fireplaces","Fireplace insert
"
"I19","Fireplaces","Marble fireplace
"
"I20","Fireplaces","Stone fireplace
"
"I21","Fireplaces","Woodburning fireplace
"
"I22","Fireplaces","2 fireplaces
"
"I23","Fireplaces","3 or more fireplaces
"
"J01","Flooring","Wall to wall carpeting
"
"J02","Flooring","Carpet
"
"J03","Flooring","Clay flooring
"
"J04","Flooring","Marble floors
"
"J05","Flooring","Parquet floors
"
"J06","Flooring","Terrazo floors
"
"J07","Flooring","Tile flooring
"
"J08","Flooring","Vinyl flooring
"
"J09","Flooring","Hardwood floors
"
"J10","Flooring","Newer carpet
"
"J11","Flooring","Dining room is carpeted
"
"J12","Flooring","Dining room has tile floor
"
"J13","Flooring","Dining room has wood floor
"
"J14","Flooring","Family room is carpeted
"
"J15","Flooring","Family room has tile floor
"
"J16","Flooring","Family room has wood floor
"
"J17","Flooring","Recreation room has brick floor
"
"J18","Flooring","Recreation room is carpeted
"
"J19","Flooring","Recreation room has tile floor
"
"J20","Flooring","Recreation room has wood floor
"
"J21","Flooring","Great room has brick floor
"
"J22","Flooring","Great room is carpeted
"
"J23","Flooring","Great room has tile floor
"
"J24","Flooring","Great room has wood floor
"
"J25","Flooring","Kitchen has brick floor
"
"J26","Flooring","Kitchen is carpeted
"
"J27","Flooring","Kitchen has tile floor
"
"J28","Flooring","Kitchen has vinyl floor
"
"J29","Flooring","Kitchen has wood floor
"
"J30","Flooring","Living room has carpeting
"
"J31","Flooring","Living room has tile floor
"
"J32","Flooring","Living room has wood floor
"
"J33","Flooring","Brick flooring
"
"J34","Flooring","Granite floors
"
"J35","Flooring","Slate floors
"
"J39","Flooring","Wood floors
"
"K01","Foundation","Cellar
"
"K02","Foundation","Slab foundation
"
"K03","Foundation","Partial basement
"
"K04","Foundation","Partially finished basement
"
"K05","Foundation","Finished basement
"
"K06","Foundation","Walk-out basement
"
"K07","Foundation","Basement
"
"K08","Foundation","Basement bedroom
"
"L01","Laundry","Electric laundry hookups
"
"L02","Laundry","Gas laundry hookups
"
"L03","Laundry","Washer/dryer hookups
"
"L04","Laundry","Laundry sink
"
"L05","Laundry","Laundry shute
"
"L06","Laundry","Laundry closet
"
"L07","Laundry","Laundry room/area
"
"L08","Laundry","Laundry area in garage/carport
"
"L09","Laundry","Laundry area in kitchen
"
"L10","Laundry","Main floor laundry
"
"L11","Laundry","Upper floor laundry
"
"M01","Heat/Cool","Central air conditioning
"
"M02","Heat/Cool","Swamp cooler
"
"M03","Heat/Cool","Wall or window air conditioner(s)
"
"M04","Heat/Cool","House fan
"
"M05","Heat/Cool","Central heat
"
"M06","Heat/Cool","Forced air heat
"
"M07","Heat/Cool","Floor furnace
"
"M08","Heat/Cool","Convection heating
"
"M09","Heat/Cool","Hot water heat
"
"M10","Heat/Cool","Radiators
"
"M11","Heat/Cool","Radiant heat
"
"M12","Heat/Cool","Baseboard heat
"
"M13","Heat/Cool","Wall heating unit(s)
"
"M14","Heat/Cool","Wood stove
"
"M15","Heat/Cool","Heat pump
"
"M16","Heat/Cool","Solar heating features
"
"M17","Heat/Cool","Electric heating
"
"M18","Heat/Cool","Gas heating
"
"M19","Heat/Cool","Propane heating
"
