"inquiries_lead_template_id","inquiries_lead_template_name","inquiries_lead_template_subject","inquiries_lead_template_message","inquiries_lead_template_sort","inquiries_lead_template_type","inquiries_lead_template_realestate","site_id"
"1","Website Follow Up Script","Website Follow Up Script","This is {agent name} with {agent's company}. We noticed that you visited the website, and were searching homes in the area. Anyway, this is a customer service follow up call to make sure you were able to find your way around the site and to answer any questions you might have. For example, many of our visitors have a little trouble navigating the MLS. \
\
Is there anything I can do to help? \
\
I also wanted to let you know of a new service offered by the MLS that a lot of people don't know about. We can actually set you up to receive emails of listings that fit your criteria as soon as they come on the market so that you are able to look before most people even know they are on the market and you don't have to visit the web site again and again. The cool part is you don't have to be tied into a Realtor to use it. Would you be interested in that?\
 \
(If \"No, not now\"...) \
Ok great. We want you to feel welcome to come back to the website to help you in your search, and we'd also love for you to call us with any questions you may have or for any assistance you might need.\
\
(If \"Yes\", set up listings by email.)\
Oh this (their dream home description) sounds nice! I'll bet it won't be any trouble at all for you to find a home like you're describing.\
\
Thank you so much for speaking with me today. Feel free to call us here if you need anything at all, ok? Bye!","0","2","1","0"
"3","Voicemail - No Message","Voicemail - No Message","Got voicemail. Did not leave a message.","0","1","0","0"
"4","Spoke with them","Spoke with them","","0","1","0","0"
"5","Voicemail - Left Message","Voicemail - Left Message","","0","1","0","0"
"6","Talked","Talked","","0","1","0","0"
"9","Follow up call competed","Follow up call competed","","0","1","0","0"
"10","Criteria is set up on MLS","Criteria is set up on MLS","","0","1","1","0"
"11","Gave Lead Out","Gave Lead Out","","0","1","0","0"
"12","Bad phone number","Bad phone number","","0","1","0","0"
