"tooltip_id","tooltip_html","tooltip_name","tooltip_section_id","tooltip_label"
"1","<p>Testing a link limit tooltip2</p>","menu_link_limit","1","Link Limit"
"2","<p>You can change the sorting by editing the \"<span>Sub-Page Sort Method\" field of the parent page. &nbsp;The link to the left displays the parent page edit form.</span></p>","changeSortingMethod","2","Change Sorting Method"
"3","","content_name","3","Title"
"4","<p>Meta title is optional and overrides the &lt;TITLE&gt; HTML element to be different from the visible page title.</p>","content_metatitle","3","META Title"
"5","","content_name2","3","Subheading"
"6","","content_menu_title","3","Menu Title"
"7","","content_url_only","3","External Link"
"8","","content_summary","3","Summary Text"
"9","<p>test</p>","content_text","3","Body Text"
"10","","content_thumbnail","3","Photo"
"11","","content_image_caption","3","Photo 1 Caption"
"12","","content_photo_hide_image","3","Hide Full Size Image?"
"13","","content_image_library_id","3","Photos"
"14","","content_image_library_layout","3","Photo Layout"
"15","","content_slideshow_id","3","Slideshow"
"16","","content_for_sale","3","Status"
"17","","content_show_map","3","Show Map &amp;<br /> Statistics on <br />Landing Page?"
"18","","content_is_listing","3","Is This a Listing?"
"19","","content_text_position","3","Body Text Position"
"20","","content_property_template","3","Property Template"
"21","","content_mls_provider","3","MLS Providers"
"22","","content_mls_number","3","MLS #"
"23","","content_firm_name","3","Firm Name"
"24","","content_mls_price","3","Use MLS Price?"
"25","","content_mls_override","3","Override MLS?"
"26","","content_price","3","Price"
"27","","content_property_bedrooms","3","Beds"
"28","","content_property_bathrooms","3","Baths"
"29","","content_property_half_baths","3","Half Baths"
"30","","content_property_sqfoot","3","Square Feet"
"31","","content_address","3","Address"
"32","","content_property_city","3","City"
"33","","content_property_state","3","State"
"34","","content_property_country","3","Country"
"35","","content_property_zip","3","Zip"
"36","","content_virtual_tour","3","Virtual Tour"
"37","","content_diagonal_message","3","Diagonal Image<br />Message"
"38","","property_id","3","Property ID"
"39","","content_property_enable_rates","3","Rental Rates"
"40","","content_property_enable_calendar","3","Availability Calendars"
"41","","content_property_enable_reservation","3","Accept Online Reservations"
"42","","content_mix_sold","3","Mix Sold?"
"43","","content_listing_user_id","3","Listing Agent"
"44","","content_include_listings","3","Included Page IDs"
"45","","content_child_sorting","3","Sub-Page Sort Method"
"46","","content_parent_id","3","Change Parent Page"
"47","","content_parentpage_link_layout","3","Parent Page Link Layout"
"48","","content_subpage_link_layout","3","Sub-page Link Layout"
"50","","content_template","3","Template"
"52","","content_hide_modal","3","Hide Modal Windows?"
"53","","content_user_group_id","3","Viewable by"
"55","","content_disable_contact_links","3","Enable Contact Links?"
"57","","content_metakey","3","Meta Keywords"
"59","","content_metadesc","3","Meta Description"
"61","","content_unique_name","3","Unique URL"
"63","","content_featured_listing_parent_page","3","Featured listing page?"
"65","","content_html_text","3","Insert<br />Advanced Code"
"67","","content_hide_link","3","Hide Link?"
"69","","content_locked","3","Lock content?"
"71","","content_hide_global","3","Hide Global Text"
"73","","content_show_site_map","3","Show on site map?"
"75","","content_search_mls","3","Search MLS?"
"259","","menu_name","1","Menu Name"
"260","","menu_size_limit","1","Pixel&nbsp;Width/Height"
"261","<p>Click the arrows to sort the records higher or lower.</p>","sorting","2","Sorting"
