"tooltip_section_id","tooltip_section_name"
"176","member.blog.comments"
"155","member.blog.edit"
"171","member.blog.editTag"
"166","member.blog.formcat"
"180","member.blog.reviewComment"
"6","member.content.edit"
"4","member.content.list"
"184","member.member.edit"
"3","member.menu.edit"
"142","member.menu.editItem"
"153","member.menu.editItemLink"
"284","member.rental.amenity.edit"
"212","member.rental.category.edit"
"221","member.rental.editRental"
"287","member.site-option-group.edit"
"291","member.site-option.edit"
"285","member.slideshow.copy"
"69","member.slideshow.edit"
"108","member.slideshow.editPhoto"
"104","member.slideshow.editTab"
